"set"	"accession"	"annotname"	"litteralname"	"chrsize.bp"	"annot"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021855.1"	19	"13093066"	">CM021855.1 Mangifera indica cultivar Alphonso chromosome 19, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021856.1"	20	"12294262"	">CM021856.1 Mangifera indica cultivar Alphonso chromosome 20, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021857.1"	"NA"	"871458"	">CM021857.1 Mangifera indica cultivar Alphonso mitochondrion, complete sequence, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021858.1"	"NA"	"150346"	">CM021858.1 Mangifera indica cultivar Alphonso chloroplast, complete sequence, whole genome shotgun sequence"
"Manihot_esculenta_ICGMC2015"	"GCA_001659605.1"	"CM004387.1"	1	"34959721"	">CM004387.1 Manihot esculenta cultivar AM560-2 chromosome LG1, whole genome shotgun sequence"
"Manihot_esculenta_ICGMC2015"	"GCA_001659605.1"	"CM004388.1"	2	"32417782"	">CM004388.1 Manihot esculenta cultivar AM560-2 chromosome LG2, whole genome shotgun sequence"
"Manihot_esculenta_ICGMC2015"	"GCA_001659605.1"	"CM004389.1"	3	"29412403"	">CM004389.1 Manihot esculenta cultivar AM560-2 chromosome LG3, whole genome shotgun sequence"
"Manihot_esculenta_ICGMC2015"	"GCA_001659605.1"	"CM004390.1"	4	"28735499"	">CM004390.1 Manihot esculenta cultivar AM560-2 chromosome LG4, whole genome shotgun sequence"
"Manihot_esculenta_ICGMC2015"	"GCA_001659605.1"	"CM004391.1"	5	"28438989"	">CM004391.1 Manihot esculenta cultivar AM560-2 chromosome LG5, whole genome shotgun sequence"
"Manihot_esculenta_ICGMC2015"	"GCA_001659605.1"	"CM004392.1"	6	"27939960"	">CM004392.1 Manihot esculenta cultivar AM560-2 chromosome LG6, whole genome shotgun sequence"
"Manihot_esculenta_ICGMC2015"	"GCA_001659605.1"	"CM004393.1"	7	"27069033"	">CM004393.1 Manihot esculenta cultivar AM560-2 chromosome LG7, whole genome shotgun sequence"
"Manihot_esculenta_ICGMC2015"	"GCA_001659605.1"	"CM004394.1"	8	"34000172"	">CM004394.1 Manihot esculenta cultivar AM560-2 chromosome LG8, whole genome shotgun sequence"
"Manihot_esculenta_ICGMC2015"	"GCA_001659605.1"	"CM004395.1"	9	"29413690"	">CM004395.1 Manihot esculenta cultivar AM560-2 chromosome LG9, whole genome shotgun sequence"
"Manihot_esculenta_ICGMC2015"	"GCA_001659605.1"	"CM004396.1"	10	"26335333"	">CM004396.1 Manihot esculenta cultivar AM560-2 chromosome LG10, whole genome shotgun sequence"
"Manihot_esculenta_ICGMC2015"	"GCA_001659605.1"	"CM004397.1"	11	"27369018"	">CM004397.1 Manihot esculenta cultivar AM560-2 chromosome LG11, whole genome shotgun sequence"
"Manihot_esculenta_ICGMC2015"	"GCA_001659605.1"	"CM004398.1"	12	"31596830"	">CM004398.1 Manihot esculenta cultivar AM560-2 chromosome LG12, whole genome shotgun sequence"
"Manihot_esculenta_ICGMC2015"	"GCA_001659605.1"	"CM004399.1"	13	"28119335"	">CM004399.1 Manihot esculenta cultivar AM560-2 chromosome LG13, whole genome shotgun sequence"
"Manihot_esculenta_ICGMC2015"	"GCA_001659605.1"	"CM004400.1"	14	"24855542"	">CM004400.1 Manihot esculenta cultivar AM560-2 chromosome LG14, whole genome shotgun sequence"
"Manihot_esculenta_ICGMC2015"	"GCA_001659605.1"	"CM004401.1"	15	"26192760"	">CM004401.1 Manihot esculenta cultivar AM560-2 chromosome LG15, whole genome shotgun sequence"
"Manihot_esculenta_ICGMC2015"	"GCA_001659605.1"	"CM004402.1"	16	"28979753"	">CM004402.1 Manihot esculenta cultivar AM560-2 chromosome LG16, whole genome shotgun sequence"
"Manihot_esculenta_ICGMC2015"	"GCA_001659605.1"	"CM004403.1"	17	"27373735"	">CM004403.1 Manihot esculenta cultivar AM560-2 chromosome LG17, whole genome shotgun sequence"
"Manihot_esculenta_ICGMC2015"	"GCA_001659605.1"	"CM004404.1"	18	"25231592"	">CM004404.1 Manihot esculenta cultivar AM560-2 chromosome LG18, whole genome shotgun sequence"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992080.1"	"1A"	"594102056"	">LS992080.1 Triticum aestivum genome assembly, chromosome: 1A"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992081.1"	"1B"	"689851870"	">LS992081.1 Triticum aestivum genome assembly, chromosome: 1B"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992082.1"	"1D"	"495453186"	">LS992082.1 Triticum aestivum genome assembly, chromosome: 1D"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992083.1"	"2A"	"780798557"	">LS992083.1 Triticum aestivum genome assembly, chromosome: 2A"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992084.1"	"2B"	"801256715"	">LS992084.1 Triticum aestivum genome assembly, chromosome: 2B"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992085.1"	"2D"	"651852609"	">LS992085.1 Triticum aestivum genome assembly, chromosome: 2D"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992086.1"	"3A"	"750843639"	">LS992086.1 Triticum aestivum genome assembly, chromosome: 3A"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992087.1"	"3B"	"830829764"	">LS992087.1 Triticum aestivum genome assembly, chromosome: 3B"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992088.1"	"3D"	"615552423"	">LS992088.1 Triticum aestivum genome assembly, chromosome: 3D"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992089.1"	"4A"	"744588157"	">LS992089.1 Triticum aestivum genome assembly, chromosome: 4A"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992090.1"	"4B"	"673617499"	">LS992090.1 Triticum aestivum genome assembly, chromosome: 4B"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992091.1"	"4D"	"509857067"	">LS992091.1 Triticum aestivum genome assembly, chromosome: 4D"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992092.1"	"5A"	"709773743"	">LS992092.1 Triticum aestivum genome assembly, chromosome: 5A"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992093.1"	"5B"	"713149757"	">LS992093.1 Triticum aestivum genome assembly, chromosome: 5B"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992094.1"	"5D"	"566080677"	">LS992094.1 Triticum aestivum genome assembly, chromosome: 5D"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992095.1"	"6A"	"618079260"	">LS992095.1 Triticum aestivum genome assembly, chromosome: 6A"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992096.1"	"6B"	"720988478"	">LS992096.1 Triticum aestivum genome assembly, chromosome: 6B"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992097.1"	"6D"	"473592718"	">LS992097.1 Triticum aestivum genome assembly, chromosome: 6D"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992098.1"	"7A"	"736706236"	">LS992098.1 Triticum aestivum genome assembly, chromosome: 7A"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992099.1"	"7B"	"750620385"	">LS992099.1 Triticum aestivum genome assembly, chromosome: 7B"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992100.1"	"7D"	"638686055"	">LS992100.1 Triticum aestivum genome assembly, chromosome: 7D"
"Triticum_aestivum_GutierrezGonzalez2019"	"GCA_900519105.1"	"LS992101.1"	"NA"	"480980714"	">LS992101.1 Triticum aestivum genome assembly, chromosome: Un"
"Oryza_sativa_DeLeon2016"	"GCA_001433935.1"	"AP014957.1"	1	"43270923"	">AP014957.1 Oryza sativa Japonica Group DNA, chromosome 1, cultivar: Nipponbare, complete sequence"
"Oryza_sativa_DeLeon2016"	"GCA_001433935.1"	"AP014958.1"	2	"35937250"	">AP014958.1 Oryza sativa Japonica Group DNA, chromosome 2, cultivar: Nipponbare, complete sequence"
"Oryza_sativa_DeLeon2016"	"GCA_001433935.1"	"AP014959.1"	3	"36413819"	">AP014959.1 Oryza sativa Japonica Group DNA, chromosome 3, cultivar: Nipponbare, complete sequence"
"Oryza_sativa_DeLeon2016"	"GCA_001433935.1"	"AP014960.1"	4	"35502694"	">AP014960.1 Oryza sativa Japonica Group DNA, chromosome 4, cultivar: Nipponbare, complete sequence"
"Oryza_sativa_DeLeon2016"	"GCA_001433935.1"	"AP014961.1"	5	"29958434"	">AP014961.1 Oryza sativa Japonica Group DNA, chromosome 5, cultivar: Nipponbare, complete sequence"
"Oryza_sativa_DeLeon2016"	"GCA_001433935.1"	"AP014962.1"	6	"31248787"	">AP014962.1 Oryza sativa Japonica Group DNA, chromosome 6, cultivar: Nipponbare, complete sequence"
"Oryza_sativa_DeLeon2016"	"GCA_001433935.1"	"AP014963.1"	7	"29697621"	">AP014963.1 Oryza sativa Japonica Group DNA, chromosome 7, cultivar: Nipponbare, complete sequence"
"Oryza_sativa_DeLeon2016"	"GCA_001433935.1"	"AP014964.1"	8	"28443022"	">AP014964.1 Oryza sativa Japonica Group DNA, chromosome 8, cultivar: Nipponbare, complete sequence"
"Oryza_sativa_DeLeon2016"	"GCA_001433935.1"	"AP014965.1"	9	"23012720"	">AP014965.1 Oryza sativa Japonica Group DNA, chromosome 9, cultivar: Nipponbare, complete sequence"
"Oryza_sativa_DeLeon2016"	"GCA_001433935.1"	"AP014966.1"	10	"23207287"	">AP014966.1 Oryza sativa Japonica Group DNA, chromosome 10, cultivar: Nipponbare, complete sequence"
"Oryza_sativa_DeLeon2016"	"GCA_001433935.1"	"AP014967.1"	11	"29021106"	">AP014967.1 Oryza sativa Japonica Group DNA, chromosome 11, cultivar: Nipponbare, complete sequence"
"Oryza_sativa_DeLeon2016"	"GCA_001433935.1"	"AP014968.1"	12	"27531856"	">AP014968.1 Oryza sativa Japonica Group DNA, chromosome 12, cultivar: Nipponbare, complete sequence"
"Phaseolus_vulgaris_Song2015"	"GCA_001517995.1"	"10"	10	"43275151"	">10 dna:chromosome chromosome:PhaVulg1_0:10:1:43275151:1 REF"
"Phaseolus_vulgaris_Song2015"	"GCA_001517995.1"	"11"	11	"50367376"	">11 dna:chromosome chromosome:PhaVulg1_0:11:1:50367376:1 REF"
"Phaseolus_vulgaris_Song2015"	"GCA_001517995.1"	"1"	1	"52205531"	">1 dna:chromosome chromosome:PhaVulg1_0:1:1:52205531:1 REF"
"Phaseolus_vulgaris_Song2015"	"GCA_001517995.1"	"2"	2	"49040938"	">2 dna:chromosome chromosome:PhaVulg1_0:2:1:49040938:1 REF"
"Phaseolus_vulgaris_Song2015"	"GCA_001517995.1"	"3"	3	"52284309"	">3 dna:chromosome chromosome:PhaVulg1_0:3:1:52284309:1 REF"
"Phaseolus_vulgaris_Song2015"	"GCA_001517995.1"	"4"	4	"45960019"	">4 dna:chromosome chromosome:PhaVulg1_0:4:1:45960019:1 REF"
"Phaseolus_vulgaris_Song2015"	"GCA_001517995.1"	"5"	5	"40819286"	">5 dna:chromosome chromosome:PhaVulg1_0:5:1:40819286:1 REF"
"Phaseolus_vulgaris_Song2015"	"GCA_001517995.1"	"6"	6	"31977256"	">6 dna:chromosome chromosome:PhaVulg1_0:6:1:31977256:1 REF"
"Phaseolus_vulgaris_Song2015"	"GCA_001517995.1"	"7"	7	"51758522"	">7 dna:chromosome chromosome:PhaVulg1_0:7:1:51758522:1 REF"
"Phaseolus_vulgaris_Song2015"	"GCA_001517995.1"	"8"	8	"59662532"	">8 dna:chromosome chromosome:PhaVulg1_0:8:1:59662532:1 REF"
"Phaseolus_vulgaris_Song2015"	"GCA_001517995.1"	"9"	9	"37469608"	">9 dna:chromosome chromosome:PhaVulg1_0:9:1:37469608:1 REF"
"Prunus_mume_Zhang2015"	"GCF_000346735.1"	"NC_024126.1"	1	"26753024"	">NC_024126.1 Prunus mume isolate 4 linkage group LG1, P.mume_V1.0, whole genome shotgun sequence"
"Prunus_mume_Zhang2015"	"GCF_000346735.1"	"NC_024127.1"	2	"42086771"	">NC_024127.1 Prunus mume isolate 4 linkage group LG2, P.mume_V1.0, whole genome shotgun sequence"
"Prunus_mume_Zhang2015"	"GCF_000346735.1"	"NC_024128.1"	3	"24358521"	">NC_024128.1 Prunus mume isolate 4 linkage group LG3, P.mume_V1.0, whole genome shotgun sequence"
"Prunus_mume_Zhang2015"	"GCF_000346735.1"	"NC_024129.1"	4	"23934096"	">NC_024129.1 Prunus mume isolate 4 linkage group LG4, P.mume_V1.0, whole genome shotgun sequence"
"Prunus_mume_Zhang2015"	"GCF_000346735.1"	"NC_024130.1"	5	"26133890"	">NC_024130.1 Prunus mume isolate 4 linkage group LG5, P.mume_V1.0, whole genome shotgun sequence"
"Prunus_mume_Zhang2015"	"GCF_000346735.1"	"NC_024131.1"	6	"21292200"	">NC_024131.1 Prunus mume isolate 4 linkage group LG6, P.mume_V1.0, whole genome shotgun sequence"
"Prunus_mume_Zhang2015"	"GCF_000346735.1"	"NC_024132.1"	7	"17044513"	">NC_024132.1 Prunus mume isolate 4 linkage group LG7, P.mume_V1.0, whole genome shotgun sequence"
"Prunus_mume_Zhang2015"	"GCF_000346735.1"	"NC_024133.1"	8	"17249391"	">NC_024133.1 Prunus mume isolate 4 linkage group LG8, P.mume_V1.0, whole genome shotgun sequence"
"Prunus_mume_Zhang2015"	"GCF_000346735.1"	"NC_023798.1"	"NA"	"157712"	">NC_023798.1 Prunus mume isolate BJFU1210120008 plastid, complete genome"
"Quercus_sp_Bodenes2016"	"GCA_900291515.1"	"LT985733.1"	1	"55068941"	">LT985733.1 Quercus robur genome assembly, scaffold: Qrob_Chr01, whole genome shotgun sequence"
"Quercus_sp_Bodenes2016"	"GCA_900291515.1"	"LT985734.1"	2	"115639695"	">LT985734.1 Quercus robur genome assembly, scaffold: Qrob_Chr02, whole genome shotgun sequence"
"Quercus_sp_Bodenes2016"	"GCA_900291515.1"	"LT985735.1"	3	"57474983"	">LT985735.1 Quercus robur genome assembly, scaffold: Qrob_Chr03, whole genome shotgun sequence"
"Quercus_sp_Bodenes2016"	"GCA_900291515.1"	"LT985736.1"	4	"44977106"	">LT985736.1 Quercus robur genome assembly, scaffold: Qrob_Chr04, whole genome shotgun sequence"
"Quercus_sp_Bodenes2016"	"GCA_900291515.1"	"LT985737.1"	5	"70629082"	">LT985737.1 Quercus robur genome assembly, scaffold: Qrob_Chr05, whole genome shotgun sequence"
"Quercus_sp_Bodenes2016"	"GCA_900291515.1"	"LT985738.1"	6	"57352617"	">LT985738.1 Quercus robur genome assembly, scaffold: Qrob_Chr06, whole genome shotgun sequence"
"Quercus_sp_Bodenes2016"	"GCA_900291515.1"	"LT985739.1"	7	"51661711"	">LT985739.1 Quercus robur genome assembly, scaffold: Qrob_Chr07, whole genome shotgun sequence"
"Quercus_sp_Bodenes2016"	"GCA_900291515.1"	"LT985740.1"	8	"71345938"	">LT985740.1 Quercus robur genome assembly, scaffold: Qrob_Chr08, whole genome shotgun sequence"
"Quercus_sp_Bodenes2016"	"GCA_900291515.1"	"LT985741.1"	9	"50221317"	">LT985741.1 Quercus robur genome assembly, scaffold: Qrob_Chr09, whole genome shotgun sequence"
"Quercus_sp_Bodenes2016"	"GCA_900291515.1"	"LT985742.1"	10	"50368918"	">LT985742.1 Quercus robur genome assembly, scaffold: Qrob_Chr10, whole genome shotgun sequence"
"Quercus_sp_Bodenes2016"	"GCA_900291515.1"	"LT985743.1"	11	"52130961"	">LT985743.1 Quercus robur genome assembly, scaffold: Qrob_Chr11, whole genome shotgun sequence"
"Quercus_sp_Bodenes2016"	"GCA_900291515.1"	"LT985744.1"	12	"39860516"	">LT985744.1 Quercus robur genome assembly, scaffold: Qrob_Chr12, whole genome shotgun sequence"
"Raphanus_sativus_Mun2015"	"GCA_002197605.1"	"CM007999.1"	1	"51745308"	">CM007999.1 Raphanus sativus cultivar XYB36-2 chromosome LG1, whole genome shotgun sequence"
"Raphanus_sativus_Mun2015"	"GCA_002197605.1"	"CM008000.1"	2	"40496707"	">CM008000.1 Raphanus sativus cultivar XYB36-2 chromosome LG2, whole genome shotgun sequence"
"Raphanus_sativus_Mun2015"	"GCA_002197605.1"	"CM008001.1"	3	"27882952"	">CM008001.1 Raphanus sativus cultivar XYB36-2 chromosome LG3, whole genome shotgun sequence"
"Raphanus_sativus_Mun2015"	"GCA_002197605.1"	"CM008002.1"	4	"49793103"	">CM008002.1 Raphanus sativus cultivar XYB36-2 chromosome LG4, whole genome shotgun sequence"
"Raphanus_sativus_Mun2015"	"GCA_002197605.1"	"CM008003.1"	5	"40596094"	">CM008003.1 Raphanus sativus cultivar XYB36-2 chromosome LG5, whole genome shotgun sequence"
"Raphanus_sativus_Mun2015"	"GCA_002197605.1"	"CM008004.1"	6	"26198371"	">CM008004.1 Raphanus sativus cultivar XYB36-2 chromosome LG6, whole genome shotgun sequence"
"Raphanus_sativus_Mun2015"	"GCA_002197605.1"	"CM008005.1"	7	"25987099"	">CM008005.1 Raphanus sativus cultivar XYB36-2 chromosome LG7, whole genome shotgun sequence"
"Raphanus_sativus_Mun2015"	"GCA_002197605.1"	"CM008006.1"	8	"27549364"	">CM008006.1 Raphanus sativus cultivar XYB36-2 chromosome LG8, whole genome shotgun sequence"
"Raphanus_sativus_Mun2015"	"GCA_002197605.1"	"CM008007.1"	9	"35166889"	">CM008007.1 Raphanus sativus cultivar XYB36-2 chromosome LG9, whole genome shotgun sequence"
"Sesamum_indicum_Wang2016"	"GCF_000512975.1"	"NC_026145.1"	1	"18577331"	">NC_026145.1 Sesamum indicum cultivar Zhongzhi No. 13 linkage group LG1, S_indicum_v1.0, whole genome shotgun sequence"
"Sesamum_indicum_Wang2016"	"GCF_000512975.1"	"NC_026146.1"	2	"18500646"	">NC_026146.1 Sesamum indicum cultivar Zhongzhi No. 13 linkage group LG2, S_indicum_v1.0, whole genome shotgun sequence"
"Sesamum_indicum_Wang2016"	"GCF_000512975.1"	"NC_026147.1"	3	"24928530"	">NC_026147.1 Sesamum indicum cultivar Zhongzhi No. 13 linkage group LG3, S_indicum_v1.0, whole genome shotgun sequence"
"Sesamum_indicum_Wang2016"	"GCF_000512975.1"	"NC_026148.1"	4	"17356267"	">NC_026148.1 Sesamum indicum cultivar Zhongzhi No. 13 linkage group LG4, S_indicum_v1.0, whole genome shotgun sequence"
"Sesamum_indicum_Wang2016"	"GCF_000512975.1"	"NC_026149.1"	5	"18898134"	">NC_026149.1 Sesamum indicum cultivar Zhongzhi No. 13 linkage group LG5, S_indicum_v1.0, whole genome shotgun sequence"
"Sesamum_indicum_Wang2016"	"GCF_000512975.1"	"NC_026150.1"	6	"25289714"	">NC_026150.1 Sesamum indicum cultivar Zhongzhi No. 13 linkage group LG6, S_indicum_v1.0, whole genome shotgun sequence"
"Sesamum_indicum_Wang2016"	"GCF_000512975.1"	"NC_026151.1"	7	"11725536"	">NC_026151.1 Sesamum indicum cultivar Zhongzhi No. 13 linkage group LG7, S_indicum_v1.0, whole genome shotgun sequence"
"Sesamum_indicum_Wang2016"	"GCF_000512975.1"	"NC_026152.1"	8	"21523998"	">NC_026152.1 Sesamum indicum cultivar Zhongzhi No. 13 linkage group LG8, S_indicum_v1.0, whole genome shotgun sequence"
"Sesamum_indicum_Wang2016"	"GCF_000512975.1"	"NC_026153.1"	9	"12411895"	">NC_026153.1 Sesamum indicum cultivar Zhongzhi No. 13 linkage group LG9, S_indicum_v1.0, whole genome shotgun sequence"
"Sesamum_indicum_Wang2016"	"GCF_000512975.1"	"NC_026154.1"	10	"17245970"	">NC_026154.1 Sesamum indicum cultivar Zhongzhi No. 13 linkage group LG10, S_indicum_v1.0, whole genome shotgun sequence"
"Sesamum_indicum_Wang2016"	"GCF_000512975.1"	"NC_026155.1"	11	"15446199"	">NC_026155.1 Sesamum indicum cultivar Zhongzhi No. 13 linkage group LG11, S_indicum_v1.0, whole genome shotgun sequence"
"Sesamum_indicum_Wang2016"	"GCF_000512975.1"	"NC_026156.1"	12	"6373461"	">NC_026156.1 Sesamum indicum cultivar Zhongzhi No. 13 linkage group LG12, S_indicum_v1.0, whole genome shotgun sequence"
"Sesamum_indicum_Wang2016"	"GCF_000512975.1"	"NC_026157.1"	13	"5050363"	">NC_026157.1 Sesamum indicum cultivar Zhongzhi No. 13 linkage group LG13, S_indicum_v1.0, whole genome shotgun sequence"
"Sesamum_indicum_Wang2016"	"GCF_000512975.1"	"NC_026158.1"	14	"4882680"	">NC_026158.1 Sesamum indicum cultivar Zhongzhi No. 13 linkage group LG14, S_indicum_v1.0, whole genome shotgun sequence"
"Sesamum_indicum_Wang2016"	"GCF_000512975.1"	"NC_026159.1"	15	"10047770"	">NC_026159.1 Sesamum indicum cultivar Zhongzhi No. 13 linkage group LG15, S_indicum_v1.0, whole genome shotgun sequence"
"Sesamum_indicum_Wang2016"	"GCF_000512975.1"	"NC_026160.1"	16	"4963887"	">NC_026160.1 Sesamum indicum cultivar Zhongzhi No. 13 linkage group LG16, S_indicum_v1.0, whole genome shotgun sequence"
"Sesamum_indicum_Wang2016"	"GCF_000512975.1"	"NC_016433.2"	"NA"	"153324"	">NC_016433.2 Sesamum indicum chloroplast, complete genome"
"Solanum_tuberosum_Endelman2016"	"PGSC_DM_v4.03"	"ST4.03ch01"	1	"88663952"	">ST4.03ch01"
"Solanum_tuberosum_Endelman2016"	"PGSC_DM_v4.03"	"ST4.03ch02"	2	"48614681"	">ST4.03ch02"
"Solanum_tuberosum_Endelman2016"	"PGSC_DM_v4.03"	"ST4.03ch03"	3	"62290286"	">ST4.03ch03"
"Solanum_tuberosum_Endelman2016"	"PGSC_DM_v4.03"	"ST4.03ch04"	4	"72208621"	">ST4.03ch04"
"Solanum_tuberosum_Endelman2016"	"PGSC_DM_v4.03"	"ST4.03ch05"	5	"52070158"	">ST4.03ch05"
"Solanum_tuberosum_Endelman2016"	"PGSC_DM_v4.03"	"ST4.03ch06"	6	"59532096"	">ST4.03ch06"
"Solanum_tuberosum_Endelman2016"	"PGSC_DM_v4.03"	"ST4.03ch07"	7	"56760843"	">ST4.03ch07"
"Solanum_tuberosum_Endelman2016"	"PGSC_DM_v4.03"	"ST4.03ch08"	8	"56938457"	">ST4.03ch08"
"Solanum_tuberosum_Endelman2016"	"PGSC_DM_v4.03"	"ST4.03ch09"	9	"61540751"	">ST4.03ch09"
"Solanum_tuberosum_Endelman2016"	"PGSC_DM_v4.03"	"ST4.03ch10"	10	"59756223"	">ST4.03ch10"
"Solanum_tuberosum_Endelman2016"	"PGSC_DM_v4.03"	"ST4.03ch11"	11	"45475667"	">ST4.03ch11"
"Solanum_tuberosum_Endelman2016"	"PGSC_DM_v4.03"	"ST4.03ch12"	12	"61165649"	">ST4.03ch12"
"Sorghum_bicolor_Zou2012"	"GCA_000003195.3"	"10"	10	"61233695"	">10 dna:chromosome chromosome:Sorghum_bicolor_NCBIv3:10:1:61233695:1 REF"
"Sorghum_bicolor_Zou2012"	"GCA_000003195.3"	"1"	1	"80884392"	">1 dna:chromosome chromosome:Sorghum_bicolor_NCBIv3:1:1:80884392:1 REF"
"Sorghum_bicolor_Zou2012"	"GCA_000003195.3"	"2"	2	"77742459"	">2 dna:chromosome chromosome:Sorghum_bicolor_NCBIv3:2:1:77742459:1 REF"
"Sorghum_bicolor_Zou2012"	"GCA_000003195.3"	"3"	3	"74386277"	">3 dna:chromosome chromosome:Sorghum_bicolor_NCBIv3:3:1:74386277:1 REF"
"Sorghum_bicolor_Zou2012"	"GCA_000003195.3"	"4"	4	"68658214"	">4 dna:chromosome chromosome:Sorghum_bicolor_NCBIv3:4:1:68658214:1 REF"
"Sorghum_bicolor_Zou2012"	"GCA_000003195.3"	"5"	5	"71854669"	">5 dna:chromosome chromosome:Sorghum_bicolor_NCBIv3:5:1:71854669:1 REF"
"Sorghum_bicolor_Zou2012"	"GCA_000003195.3"	"6"	6	"61277060"	">6 dna:chromosome chromosome:Sorghum_bicolor_NCBIv3:6:1:61277060:1 REF"
"Sorghum_bicolor_Zou2012"	"GCA_000003195.3"	"7"	7	"65505356"	">7 dna:chromosome chromosome:Sorghum_bicolor_NCBIv3:7:1:65505356:1 REF"
"Sorghum_bicolor_Zou2012"	"GCA_000003195.3"	"8"	8	"62686529"	">8 dna:chromosome chromosome:Sorghum_bicolor_NCBIv3:8:1:62686529:1 REF"
"Sorghum_bicolor_Zou2012"	"GCA_000003195.3"	"9"	9	"59416394"	">9 dna:chromosome chromosome:Sorghum_bicolor_NCBIv3:9:1:59416394:1 REF"
"Theobroma_cacao_Royaert2016"	"GCA_000403535.1"	"CM001879.1"	1	"38988864"	">CM001879.1 Theobroma cacao cultivar Matina 1-6 chromosome 1, whole genome shotgun sequence"
"Theobroma_cacao_Royaert2016"	"GCA_000403535.1"	"CM001880.1"	2	"42436413"	">CM001880.1 Theobroma cacao cultivar Matina 1-6 chromosome 2, whole genome shotgun sequence"
"Theobroma_cacao_Royaert2016"	"GCA_000403535.1"	"CM001881.1"	3	"34397752"	">CM001881.1 Theobroma cacao cultivar Matina 1-6 chromosome 3, whole genome shotgun sequence"
"Theobroma_cacao_Royaert2016"	"GCA_000403535.1"	"CM001882.1"	4	"33492547"	">CM001882.1 Theobroma cacao cultivar Matina 1-6 chromosome 4, whole genome shotgun sequence"
"Theobroma_cacao_Royaert2016"	"GCA_000403535.1"	"CM001883.1"	5	"40442896"	">CM001883.1 Theobroma cacao cultivar Matina 1-6 chromosome 5, whole genome shotgun sequence"
"Theobroma_cacao_Royaert2016"	"GCA_000403535.1"	"CM001884.1"	6	"27290986"	">CM001884.1 Theobroma cacao cultivar Matina 1-6 chromosome 6, whole genome shotgun sequence"
"Theobroma_cacao_Royaert2016"	"GCA_000403535.1"	"CM001885.1"	7	"24379470"	">CM001885.1 Theobroma cacao cultivar Matina 1-6 chromosome 7, whole genome shotgun sequence"
"Theobroma_cacao_Royaert2016"	"GCA_000403535.1"	"CM001886.1"	8	"21543242"	">CM001886.1 Theobroma cacao cultivar Matina 1-6 chromosome 8, whole genome shotgun sequence"
"Theobroma_cacao_Royaert2016"	"GCA_000403535.1"	"CM001887.1"	9	"42035188"	">CM001887.1 Theobroma cacao cultivar Matina 1-6 chromosome 9, whole genome shotgun sequence"
"Theobroma_cacao_Royaert2016"	"GCA_000403535.1"	"CM001888.1"	10	"25448839"	">CM001888.1 Theobroma cacao cultivar Matina 1-6 chromosome 10, whole genome shotgun sequence"
"Zea_mays_MaizeGDBConsensus_v4"	"GCA_000005005.6"	"10"	10	"150982314"	">10 dna:chromosome chromosome:B73_RefGen_v4:10:1:150982314:1 REF"
"Zea_mays_MaizeGDBConsensus_v4"	"GCA_000005005.6"	"1"	1	"307041717"	">1 dna:chromosome chromosome:B73_RefGen_v4:1:1:307041717:1 REF"
"Zea_mays_MaizeGDBConsensus_v4"	"GCA_000005005.6"	"2"	2	"244442276"	">2 dna:chromosome chromosome:B73_RefGen_v4:2:1:244442276:1 REF"
"Zea_mays_MaizeGDBConsensus_v4"	"GCA_000005005.6"	"3"	3	"235667834"	">3 dna:chromosome chromosome:B73_RefGen_v4:3:1:235667834:1 REF"
