mkr	Chr	cM
Marker1136789	2	121.968
Marker1399274	2	122.097
Marker1318361	2	122.097
Marker1443035	2	122.097
Marker1434874	2	122.097
Marker1146675	2	122.097
Marker1242249	2	122.486
Marker1075704	2	122.291
Marker1259107	2	122.486
Marker1135542	2	122.679
Marker1393609	2	122.876
Marker1420355	2	123.659
Marker1385810	2	125.22
Marker1272036	2	124.059
Marker1186951	2	125.797
Marker1387422	2	127.16
Marker1302313	2	128.324
Marker1371732	2	128.708
Marker1184280	2	128.9
Marker1261153	2	129.091
Marker1356649	2	129.283
Marker1320849	2	129.474
Marker1432615	2	129.858
Marker1292525	2	129.858
Marker1393016	2	129.988
Marker1353216	2	130.508
Marker1346763	2	130.767
Marker1164855	2	130.915
Marker1375625	2	131.063
Marker1207252	2	131.063
Marker1364201	2	131.36
Marker1438279	2	131.508
Marker1323669	2	131.508
Marker1237251	2	131.804
Marker1304144	2	131.952
Marker1349570	2	131.952
Marker1201466	2	132.1
Marker1217847	2	132.1
Marker1157492	2	132.248
Marker1426410	2	132.396
Marker1256262	2	132.396
Marker1183704	2	132.396
Marker1343890	2	132.396
Marker1252088	2	132.396
Marker1212543	2	132.396
Marker1227560	2	132.606
Marker1446032	2	132.84
Marker1134171	2	132.84
Marker1273091	2	133.137
Marker1293568	2	133.137
Marker1170533	2	133.433
Marker1448971	2	134.969
Marker1146445	2	133.581
Marker1317656	2	133.878
Marker1361839	2	134.026
Marker1436056	2	134.174
Marker1169842	2	134.322
Marker1177979	2	134.322
Marker1401829	2	134.47
Marker1097540	2	134.47
Marker1408733	2	134.617
Marker1316964	2	134.617
Marker1242138	2	134.617
Marker1124496	2	134.617
Marker1139552	2	134.617
Marker1180505	2	134.914
Marker1224918	2	135.062
Marker1400825	2	135.21
Marker1278826	2	135.507
Marker1172363	2	135.803
Marker1391317	2	136.249
Marker1240226	2	136.695
Marker1307190	2	137.141
Marker1302462	2	137.289
Marker1405793	2	137.586
Marker1311664	2	137.734
Marker1155608	2	137.882
Marker1343336	2	137.882
Marker1221124	2	138.03
Marker1179261	2	138.03
Marker1267170	2	138.03
Marker1213188	2	138.03
Marker1126115	2	138.03
Marker1391184	2	138.03
Marker1147168	2	138.177
Marker1092082	2	137.06
Marker1340934	2	138.325
Marker1063071	2	138.325
Marker1404914	2	138.771
Marker1197388	2	138.919
Marker1283012	2	139.216
Marker1188214	2	139.216
Marker1072853	2	139.364
Marker1350504	2	139.661
Marker1322525	2	140.408
Marker1389721	2	140.556
Marker1085858	2	140.556
Marker1366461	2	140.704
Marker1109000	2	141
Marker1291544	2	141.297
Marker1292739	2	141.593
Marker1255471	2	141.593
Marker1163068	2	142.04
Marker1381690	2	142.336
Marker1207255	2	142.336
Marker1146946	2	142.782
Marker1090281	2	143.118
Marker1126307	2	143.662
Marker1426842	2	143.902
Marker1105901	2	143.608
Marker1342115	2	143.902
Marker1116286	2	144.87
Marker1291442	2	144.742
Marker1350768	2	145.351
Marker1244390	2	145.591
Marker1234552	2	145.591
Marker1106862	2	145.591
Marker1116446	2	145.591
Marker1168808	2	145.591
Marker1161959	2	145.591
Marker1344078	2	146.044
Marker1379740	2	145.591
Marker1329393	2	145.591
Marker1194964	2	145.591
Marker1090726	2	146.044
Marker1245574	2	145.591
Marker1328913	2	146.138
Marker1426027	2	146.685
Marker1152952	2	146.866
Marker1062052	2	147.23
Marker1157225	2	147.411
Marker1074584	2	147.411
Marker1360977	2	147.411
Marker1399419	2	147.802
Marker1449766	2	148.193
Marker1248680	2	148.583
Marker1113362	2	148.974
Marker1188218	2	147.411
Marker1441392	2	149.103
Marker1339003	2	149.493
Marker1271487	2	150.079
Marker1318904	2	150.666
Marker1075772	2	151.056
Marker1434671	2	151.056
Marker1382857	2	151.708
Marker1164438	2	152.142
Marker1150855	2	152.358
Marker1227255	2	152.358
Marker1208963	2	152.358
Marker1387271	2	152.358
Marker1255643	2	152.358
Marker1311761	2	152.358
Marker1113022	2	152.534
Marker1320871	2	152.709
Marker1167131	2	152.885
Marker1224200	2	153.061
Marker1305248	2	153.413
Marker1344924	2	153.589
Marker1142193	2	154.119
Marker1313199	2	155.007
Marker1205972	2	155.183
Marker1135644	2	155.359
Marker1353791	2	155.359
Marker1382542	2	155.711
Marker1111942	2	156.063
Marker1117757	2	156.239
Marker1386092	2	156.415
Marker1410047	2	156.415
Marker1171473	2	156.415
Marker1366090	2	156.591
Marker1121425	2	156.766
Marker1269463	2	156.942
Marker1216453	2	156.942
Marker1258414	2	157.118
Marker1082291	2	157.294
Marker1252503	2	157.469
Marker1398256	2	157.645
Marker1355112	2	157.821
Marker1255996	2	157.821
Marker1128075	2	157.997
Marker1433277	2	157.997
Marker1429229	2	157.997
Marker1231624	2	157.997
Marker1311972	2	157.997
Marker1327701	2	157.997
Marker1172159	2	158.172
Marker1337502	2	158.348
Marker1226393	2	158.7
Marker1183561	2	159.053
Marker1365019	2	159.229
Marker1351709	2	159.404
Marker1256738	2	159.757
Marker1435995	2	159.932
Marker1121876	2	160.108
Marker1427706	2	160.461
Marker1392972	2	160.813
Marker1218405	2	161.165
Marker1197532	2	161.341
Marker1137250	2	161.694
Marker1311327	2	161.694
Marker1099459	2	161.869
Marker1129469	2	162.045
Marker1448976	2	162.045
Marker1141195	2	162.221
Marker1244256	2	162.221
Marker1365143	2	162.221
Marker1330152	2	162.221
Marker1123762	2	162.221
Marker1283868	2	162.221
Marker1220333	2	162.397
Marker1329540	2	162.397
Marker1391867	2	162.749
Marker1343020	2	164.364
Marker1188197	2	164.364
Marker1326733	2	165.228
Marker1321106	2	164.849
Marker1128788	2	165.803
Marker1166599	2	166.322
Marker1179270	2	166.322
Marker1366774	2	166.458
Marker1374380	2	167.004
Marker1190784	2	167.139
Marker1221350	2	167.411
Marker1216704	2	167.958
Marker1228178	2	168.093
Marker1237758	2	168.365
Marker1444329	2	168.911
Marker1193734	2	169.402
Marker1163578	2	169.729
Marker1239398	2	170.833
Marker1226159	2	171.105
Marker1124437	2	171.79
Marker1330196	2	172.062
Marker1268867	2	172.197
Marker1303288	2	172.327
Marker1110185	2	172.717
Marker1266080	2	172.197
Marker1408480	2	173.108
Marker1430977	2	172.197
Marker1077960	2	173.237
Marker1151081	2	173.237
Marker1349855	2	173.237
Marker1305589	2	173.237
Marker1149787	2	173.237
Marker1364252	2	173.237
Marker1446829	2	173.237
Marker1385425	2	173.237
Marker1087014	2	173.237
Marker1264371	2	173.237
Marker1431272	2	173.237
Marker1336654	2	173.374
Marker1219311	2	173.374
Marker1441521	2	173.374
Marker1311925	2	173.374
Marker1156539	2	173.374
Marker1219667	2	173.374
Marker1099245	2	173.374
Marker1222475	2	173.374
Marker1308544	2	173.51
Marker1373794	2	173.646
Marker1198272	2	173.782
Marker1104114	2	173.918
Marker1442393	2	173.918
Marker1294241	2	174.055
Marker1169904	2	174.191
Marker1208712	2	174.191
Marker1348153	2	174.327
Marker1321789	2	174.327
Marker1341517	2	174.6
Marker1257005	2	174.736
Marker1361120	2	174.872
Marker1275076	2	175.008
Marker1396659	2	175.008
Marker1309424	2	175.008
Marker1330478	2	175.008
Marker1112987	2	175.008
Marker1108426	2	175.008
Marker1084193	2	175.008
Marker1226575	2	175.008
Marker1289763	2	175.282
Marker1290951	2	175.418
Marker1310307	2	175.418
Marker1213413	2	175.418
Marker1225574	2	175.554
Marker1339181	2	175.827
Marker1195897	2	176.238
Marker1139542	2	176.511
Marker1130362	2	176.647
Marker1418031	2	176.92
Marker1068167	2	177.469
Marker1361260	2	177.469
Marker1315829	2	177.88
Marker1168655	2	178.016
Marker1184877	2	178.289
Marker1447208	2	178.289
Marker1103698	2	178.289
Marker1064865	2	178.425
Marker1145519	2	178.425
Marker1152954	2	178.425
Marker1104405	2	178.425
Marker1113671	2	178.425
Marker1385212	2	178.425
Marker1327537	2	178.425
Marker1300812	2	178.425
Marker1424886	2	178.425
Marker1282082	2	178.425
Marker1212815	2	178.425
Marker1343596	2	178.425
Marker1403108	2	178.425
Marker1387013	2	178.425
Marker1113141	2	178.561
Marker1283521	2	178.561
Marker1234636	2	178.561
Marker1351674	2	178.561
Marker1141801	2	178.691
Marker1245841	2	178.82
Marker1310522	2	178.95
Marker1207946	2	179.576
Marker1345021	2	179.888
Marker1131790	2	179.888
Marker1384492	2	180.068
Marker1256784	2	179.888
Marker1301273	2	179.888
Marker1376220	2	179.888
Marker1147813	2	180.2
Marker1138115	2	180.512
Marker1110024	2	180.512
Marker1260465	2	180.512
Marker1401737	2	180.772
Marker1369141	2	180.772
Marker1280818	2	181.032
Marker1285048	2	181.292
Marker1425592	2	181.421
Marker1161339	2	181.421
Marker1278910	2	181.681
Marker1139163	2	181.81
Marker1196850	2	181.94
Marker1114021	2	182.069
Marker1328446	2	182.199
Marker1218072	2	182.199
Marker1319436	2	182.416
Marker1283925	2	182.632
Marker1393281	2	182.849
Marker1290985	2	183.065
Marker1328768	2	183.282
Marker1397848	2	183.282
Marker1418063	2	183.282
Marker1276266	2	183.282
Marker1231666	2	183.282
Marker1082523	2	183.282
Marker1291357	2	183.498
Marker1401084	2	183.498
Marker1073633	2	183.498
Marker1331399	2	183.498
Marker1334090	2	183.498
Marker1172623	2	183.498
Marker1073704	2	183.498
Marker1110659	2	183.498
Marker1228897	2	183.712
Marker1256122	2	183.712
Marker1392548	2	183.712
Marker1160638	2	183.712
Marker1414161	2	183.712
Marker1221071	2	183.925
Marker1235961	2	183.925
Marker1387566	2	183.925
Marker1341992	2	183.925
Marker1377901	2	184.138
Marker1242718	2	184.351
Marker1275930	2	184.778
Marker1177555	2	184.778
Marker1158431	2	184.992
Marker1275347	2	184.992
Marker1410351	2	184.992
Marker1248933	2	185.419
Marker1303732	2	185.419
Marker1164640	2	185.419
Marker1319072	2	185.846
Marker1086836	2	185.846
Marker1269182	2	185.846
Marker1418460	2	185.846
Marker1119000	2	185.846
Marker1342796	2	185.846
Marker1255775	2	186.106
Marker1094788	2	186.106
Marker1393418	2	186.106
Marker1424259	2	186.365
Marker1295391	2	186.106
Marker1074073	2	186.624
Marker1251188	2	187.405
Marker1291421	2	186.106
Marker1418311	2	186.106
Marker1244118	2	186.106
Marker1319375	2	186.106
Marker1413016	2	186.106
Marker1241211	2	186.106
Marker1113445	2	186.106
Marker1095698	2	186.106
Marker1302908	2	187.664
Marker1428735	2	186.365
Marker1122448	2	186.885
Marker1140204	2	187.405
Marker1375068	2	187.405
Marker1275214	2	187.405
Marker1245223	2	187.405
Marker1218747	2	187.664
Marker1263540	2	187.923
Marker1391251	2	187.923
Marker1283163	2	187.923
Marker1435012	2	187.923
Marker1257148	2	188.199
Marker1386877	2	188.475
Marker1162577	2	188.167
Marker1245562	2	188.657
Marker1407200	2	188.475
Marker1332268	2	188.475
Marker1065715	2	188.475
Marker1120936	2	188.475
Marker1362227	2	188.475
Marker1190855	2	188.475
Marker1338077	2	189.028
Marker1074679	2	189.147
Marker1326898	2	189.391
Marker1242119	2	189.581
Marker1233949	2	189.635
Marker1436905	2	190.125
Marker1085674	2	189.857
Marker1083602	2	190.133
Marker1449484	2	190.133
Marker1121875	2	190.686
Marker1375129	2	190.686
Marker1443339	2	190.686
Marker1101653	2	190.686
Marker1352995	2	190.369
Marker1405952	2	190.686
Marker1166770	2	190.686
Marker1375037	2	190.777
Marker1311325	2	191.089
Marker1110159	2	191.239
Marker1311599	2	191.528
Marker1321405	2	191.837
Marker1229193	2	191.837
Marker1256080	2	191.966
Marker1348396	2	192.375
Marker1295529	2	192.51
Marker1070118	2	192.782
Marker1353539	2	193.054
Marker1396976	2	193.6
Marker1355868	2	197.901
Marker1101950	2	194.284
Marker1280433	2	194.83
Marker1103001	2	195.515
Marker1140730	2	195.65
Marker1358176	2	196.059
Marker1322515	2	196.605
Marker1315774	2	197.151
Marker1101788	2	197.559
Marker1150935	2	197.695
Marker1413680	2	197.901
Marker1129452	2	198.126
Marker1087504	2	198.895
Marker1123564	2	199.656
Marker1288673	2	199.047
Marker1429094	2	199.352
Marker1174103	2	199.504
Marker1345716	2	199.656
Marker1276793	2	199.656
Marker1125118	2	199.656
Marker1437622	2	199.656
Marker1248593	2	199.656
Marker1379794	2	199.656
Marker1421966	2	199.656
Marker1342635	2	199.656
Marker1330221	2	199.656
Marker1174695	2	199.656
Marker1294708	2	199.959
Marker1116824	2	200.11
Marker1283290	2	200.565
Marker1254948	2	199.656
Marker1220224	2	199.656
Marker1397480	2	200.565
Marker1411873	2	200.565
Marker1318195	2	200.565
Marker1098531	2	200.565
Marker1435292	2	200.565
Marker1390878	2	200.565
Marker1253845	2	200.565
Marker1167467	2	200.565
Marker1378583	2	200.565
Marker1241073	2	200.565
Marker1110017	2	200.565
Marker1121996	2	200.825
Marker1200887	2	201.345
Marker1234889	2	201.605
Marker1281929	2	201.864
Marker1292333	2	201.345
Marker1304951	2	201.864
Marker1406271	2	201.864
Marker1063776	2	201.864
Marker1434618	2	202.124
Marker1141721	2	202.124
Marker1220787	2	202.124
Marker1146102	2	202.124
Marker1447122	2	202.124
Marker1127634	2	202.124
Marker1063237	2	202.124
Marker1270216	2	202.332
Marker1419244	2	202.54
Marker1323690	2	202.747
Marker1283647	2	202.955
Marker1138895	2	203.163
Marker1326541	2	203.163
Marker1241624	2	203.466
Marker1372798	2	203.466
Marker1090108	2	203.77
Marker1125405	2	203.77
Marker1393798	2	203.77
Marker1313079	2	204.073
Marker1231645	2	204.073
Marker1383218	2	204.073
Marker1079812	2	204.073
Marker1405511	2	204.289
Marker1351825	2	204.722
Marker1405560	2	205.373
Marker1395620	2	205.373
Marker1450139	2	205.672
Marker1105572	2	206.123
Marker1187723	2	206.725
Marker1350680	2	207.327
Marker1433707	2	207.979
Marker1340107	2	208.302
Marker1389651	2	207.979
Marker1197537	2	208.302
Marker1072203	2	208.951
Marker1219623	2	208.951
Marker1335156	2	208.412
Marker1062726	2	208.628
Marker1318214	2	208.628
Marker1450099	2	209.062
Marker1264823	2	209.495
Marker1416125	2	209.928
Marker1374314	2	209.274
Marker1383147	2	210.144
Marker1193368	2	210.578
Marker1401825	2	210.578
Marker1295332	2	210.723
Marker1442869	2	210.867
Marker1310273	2	211.304
Marker1193051	2	211.449
Marker1264428	2	211.885
Marker1083055	2	212.469
Marker1437208	2	212.905
Marker1297920	2	213.05
Marker1246461	2	213.572
Marker1159554	2	213.05
Marker1333497	2	213.05
Marker1313763	2	213.05
Marker1412026	2	213.832
Marker1085570	2	214.486
Marker1190559	2	215.008
Marker1166754	2	213.05
Marker1084007	2	215.138
Marker1389148	2	213.05
Marker1159968	2	215.529
Marker1085906	2	215.788
Marker1135203	2	216.048
Marker1263516	2	216.308
Marker1369605	2	216.437
Marker1114621	2	216.614
Marker1127964	2	216.791
Marker1260853	2	216.967
Marker1226615	2	216.967
Marker1301457	2	216.967
Marker1234665	2	217.321
Marker1432767	2	216.437
Marker1312448	2	217.412
Marker1190973	2	218.033
Marker1102492	2	217.412
Marker1086916	2	218.387
Marker1211307	2	218.387
Marker1404092	2	218.65
Marker1286318	2	219.036
Marker1262345	2	219.036
Marker1141865	2	219.217
Marker1394298	2	219.217
Marker1225679	2	219.398
Marker1117906	2	219.398
Marker1074018	2	219.398
Marker1231589	2	219.036
Marker1204673	2	219.036
Marker1206254	2	219.58
Marker1259696	2	219.761
Marker1062020	2	219.489
Marker1296739	2	219.942
Marker1165156	2	220.072
Marker1113811	2	220.072
Marker1227498	2	220.072
Marker1386385	2	220.462
Marker1307183	2	220.592
Marker1150858	2	220.721
Marker1385298	2	220.721
Marker1345838	2	220.851
Marker1218773	2	220.981
Marker1097109	2	220.981
Marker1378866	2	220.981
Marker1289033	2	221.11
Marker1152695	2	220.981
Marker1140156	2	221.11
Marker1288560	2	220.981
Marker1214257	2	221.501
Marker1186451	2	221.695
Marker1142683	2	222.67
Marker1425968	2	222.67
Marker1122231	2	221.89
Marker1305757	2	222.084
Marker1381983	2	222.279
Marker1283407	2	222.67
Marker1327707	2	222.669
Marker1241880	2	222.669
Marker1403747	2	223.058
Marker1179403	2	222.863
Marker1073210	2	223.058
Marker1308584	2	223.491
Marker1343105	2	223.707
Marker1405199	2	223.836
Marker1073500	2	223.707
Marker1271099	2	223.836
Marker1437665	2	224.096
Marker1178809	2	224.355
Marker1223521	2	224.355
Marker1195024	2	224.549
Marker1164348	2	224.744
Marker1220795	2	225.133
Marker1210174	2	224.744
Marker1169859	2	225.133
Marker1240844	2	225.133
Marker1399718	2	225.133
Marker1319012	2	225.3
Marker1306751	2	225.466
Marker1341492	2	225.133
Marker1252625	2	225.466
Marker1177765	2	225.466
Marker1349611	2	225.717
Marker1231346	2	225.717
Marker1269935	2	226.301
Marker1349367	2	225.632
Marker1437222	2	225.799
Marker1410139	2	225.799
Marker1066830	2	225.799
Marker1236490	2	226.301
Marker1282311	2	226.301
Marker1099788	2	226.301
Marker1322187	2	226.43
Marker1117111	2	227.218
Marker1304135	2	227.74
Marker1157147	2	227.74
Marker1130525	2	227.87
Marker1213117	2	227.999
Marker1148116	2	227.999
Marker1095320	2	227.999
Marker1086322	2	228.129
Marker1390079	2	228.129
Marker1297651	2	228.388
Marker1215039	2	228.388
Marker1317331	2	228.713
Marker1402839	2	229.038
Marker1292446	2	229.038
Marker1116324	2	229.344
Marker1354077	2	229.804
Marker1297678	2	229.956
Marker1070964	2	230.108
Marker1389480	2	230.414
Marker1159853	2	230.567
Marker1403825	2	230.719
Marker1095986	2	230.719
Marker1306917	2	230.872
Marker1380968	2	231.177
Marker1103921	2	231.637
Marker1120852	2	232.604
Marker1276344	2	233.085
Marker1248661	2	233.085
Marker1291613	2	233.566
Marker1448759	2	231.637
Marker1063239	2	233.931
Marker1141658	2	235.941
Marker1346595	2	234.363
Marker1384856	2	235.941
Marker1281710	2	234.65
Marker1095056	2	234.938
Marker1271995	2	234.938
Marker1073492	2	234.938
Marker1436011	2	234.938
Marker1353890	2	234.938
Marker1296605	2	234.938
Marker1294595	2	235.081
Marker1068798	2	235.081
Marker1149931	2	235.081
Marker1402653	2	235.081
Marker1118035	2	235.224
Marker1264245	2	235.224
Marker1075645	2	235.224
Marker1294303	2	235.367
Marker1351059	2	235.51
Marker1263148	2	235.654
Marker1303368	2	235.654
Marker1406785	2	235.941
Marker1063942	2	236.238
Marker1387367	2	236.978
Marker1131103	2	236.386
Marker1357535	2	236.978
Marker1197574	2	236.978
Marker1072718	2	236.386
Marker1231633	2	236.386
Marker1175751	2	236.386
Marker1249297	2	236.534
Marker1442491	2	236.682
Marker1395964	2	236.83
Marker1394499	2	236.978
Marker1174975	2	236.978
Marker1414770	2	236.978
Marker1165770	2	236.978
Marker1225500	2	236.978
Marker1324624	2	236.978
Marker1167721	2	236.978
Marker1095726	2	237.107
Marker1084001	2	237.237
Marker1330560	2	237.366
Marker1299976	2	237.574
Marker1211115	2	237.366
Marker1314996	2	238.409
Marker1350724	2	238.409
Marker1170776	2	239.718
Marker1145263	2	239.718
Marker1400686	2	240.109
Marker1200383	2	242.717
Marker1389382	2	242.717
Marker1131620	2	240.857
Marker1263310	2	241.417
Marker1117868	2	242.717
Marker1254776	2	241.602
Marker1445603	2	241.788
Marker1421979	2	241.974
Marker1128484	2	241.974
Marker1368794	2	242.346
Marker1095423	2	242.531
Marker1291567	2	242.717
Marker1270354	2	242.717
Marker1081856	2	242.846
Marker1234189	2	242.846
Marker1150581	2	242.846
Marker1246373	2	242.846
Marker1172152	2	243.028
Marker1421447	2	243.392
Marker1122945	2	243.573
Marker1096055	2	242.846
Marker1370636	2	243.754
Marker1129334	2	244.014
Marker1362687	2	244.446
Marker1306706	2	244.014
Marker1061036	2	244.385
Marker1212550	2	244.57
Marker1197606	2	244.755
Marker1359585	2	244.94
Marker1386035	2	245.312
Marker1322373	2	245.312
Marker1298086	2	245.441
Marker1240662	2	245.571
Marker1313429	2	245.83
Marker1065786	2	246.089
Marker1331241	2	246.089
Marker1110147	2	246.349
Marker1279179	2	246.673
Marker1394339	2	246.998
Marker1136383	2	246.998
Marker1213399	2	246.998
Marker1158088	2	246.565
Marker1077296	2	246.998
Marker1103860	2	246.998
Marker1343083	2	246.998
Marker1151413	2	246.565
Marker1184415	2	246.998
Marker1392391	2	246.998
Marker1203746	2	246.998
Marker1114113	2	246.998
Marker1238312	2	247.583
Marker1386544	2	247.778
Marker1218637	2	247.972
Marker1374579	2	248.167
Marker1200449	2	248.558
Marker1271052	2	248.752
Marker1207851	2	249.142
Marker1080254	2	248.947
Marker1322931	2	249.727
Marker1322620	2	249.727
Marker1308632	2	249.857
Marker1281157	2	249.857
Marker1385605	2	249.986
Marker1212410	2	249.986
Marker1157319	2	249.986
Marker1277595	2	249.986
Marker1281461	2	249.986
Marker1193918	2	249.986
Marker1136080	2	250.116
Marker1166531	2	250.116
Marker1293472	2	250.116
Marker1217158	2	250.116
Marker1414675	2	250.116
Marker1331747	2	249.986
Marker1335644	2	250.116
Marker1205669	2	250.116
Marker1274451	2	250.116
Marker1335172	2	250.116
Marker1447809	2	250.116
Marker1096828	2	250.116
Marker1198910	2	250.245
Marker1365786	2	250.245
Marker1356727	2	250.245
Marker1189147	2	250.116
Marker1381329	2	250.116
Marker1367775	2	250.245
Marker1091846	2	250.245
Marker1068507	2	250.375
Marker1377172	2	250.375
Marker1070654	2	250.375
Marker1427533	2	250.375
Marker1188566	2	250.375
Marker1083268	2	250.504
Marker1108235	2	250.504
Marker1198363	2	250.375
Marker1136858	2	250.504
Marker1074785	2	250.944
Marker1317886	2	252.069
Marker1180492	2	252.069
Marker1390299	2	252.46
Marker1356028	2	254.147
Marker1113139	2	253.529
Marker1343686	2	254.481
Marker1170441	2	254.815
Marker1220623	2	255.249
Marker1102912	2	255.829
Marker1270545	2	255.829
Marker1132100	2	255.973
Marker1100947	2	254.815
Marker1233214	2	256.117
Marker1404373	2	256.117
Marker1348500	2	256.117
Marker1137824	2	256.767
Marker1379253	2	256.117
Marker1235474	2	256.767
Marker1166886	2	256.767
Marker1337763	2	256.767
Marker1083191	2	256.897
Marker1200242	2	257.286
Marker1182278	2	257.286
Marker1096170	2	257.286
Marker1350071	2	257.286
Marker1371284	2	257.52
Marker1295050	2	258.164
Marker1382838	2	257.988
Marker1137856	2	258.221
Marker1258242	2	258.221
Marker1335823	2	258.221
Marker1134635	2	258.221
Marker1234624	2	258.221
Marker1148402	2	258.221
Marker1305062	2	258.221
Marker1075327	2	258.221
Marker1360193	2	258.221
Marker1235272	2	258.221
Marker1135150	2	258.221
Marker1102478	2	258.164
Marker1433633	2	258.221
Marker1173757	2	258.455
Marker1324524	2	258.221
Marker1081487	2	258.455
Marker1170022	2	258.455
Marker1400371	2	258.455
Marker1262397	2	258.975
Marker1220666	2	259.586
Marker1134159	2	260.198
Marker1182591	2	259.471
Marker1259290	2	260.81
Marker1150128	2	260.81
Marker1320869	2	261.854
Marker1259694	2	261.854
Marker1396309	2	262.114
Marker1413696	2	261.1
Marker1256748	2	264.803
Marker1370833	2	264.843
Marker210714	3	9.301
Marker33863	3	11.995
Marker113232	3	11.995
Marker6135	3	11.995
Marker182496	3	12.254
Marker15594	3	13.298
Marker116089	3	14.08
Marker71167	3	14.339
Marker74945	3	14.339
Marker110119	3	14.339
Marker158229	3	14.339
Marker118370	3	14.339
Marker39290	3	14.339
Marker80925	3	0
Marker212284	3	6.839
Marker51811	3	12.112
Marker45592	3	14.339
Marker144432	3	14.858
Marker153234	3	15.958
Marker80837	3	16.504
Marker196343	3	16.685
Marker56622	3	16.685
Marker869	3	15.314
Marker131121	3	16.685
Marker47015	3	15.77
Marker169562	3	16.685
Marker15499	3	16.814
Marker196219	3	16.944
Marker157936	3	17.203
Marker197525	3	16.685
Marker29452	3	16.685
Marker34844	3	17.333
Marker182441	3	17.333
Marker200643	3	17.333
Marker165845	3	17.333
Marker131858	3	17.462
Marker148591	3	17.462
Marker147446	3	17.462
Marker107488	3	17.722
Marker10025	3	17.852
Marker141492	3	17.852
Marker192420	3	17.852
Marker223705	3	17.722
Marker196785	3	17.852
Marker74560	3	17.852
Marker215715	3	17.981
Marker97170	3	17.981
Marker102086	3	17.981
Marker66092	3	17.981
Marker224902	3	17.981
Marker145667	3	17.981
Marker14637	3	17.981
Marker109776	3	17.981
Marker70134	3	17.981
Marker203967	3	17.981
Marker150901	3	17.981
Marker95176	3	17.981
Marker84820	3	17.981
Marker18037	3	17.981
Marker70097	3	17.981
Marker166299	3	17.981
Marker97836	3	17.981
Marker143701	3	17.981
Marker18432	3	18.853
Marker192621	3	19.025
Marker32583	3	19.025
Marker206641	3	19.155
Marker151399	3	19.155
Marker123224	3	19.732
Marker72815	3	19.787
Marker61066	3	21.173
Marker8852	3	21.173
Marker61438	3	22.026
Marker47426	3	21.813
Marker187546	3	22.026
Marker3715	3	22.187
Marker145152	3	22.56
Marker5561	3	23.31
Marker40732	3	23.31
Marker199406	3	23.833
Marker178839	3	23.833
Marker92050	3	24.266
Marker204404	3	24.482
Marker102932	3	24.482
Marker181500	3	24.698
Marker78046	3	24.698
Marker125589	3	25.131
Marker99629	3	25.131
Marker106758	3	25.131
Marker125758	3	25.131
Marker189946	3	25.131
Marker218412	3	25.26
Marker4325	3	25.39
Marker76559	3	25.131
Marker57211	3	25.131
Marker144679	3	25.131
Marker158358	3	25.519
Marker122896	3	25.519
Marker53087	3	25.131
Marker77851	3	25.519
Marker87481	3	25.649
Marker189197	3	25.131
Marker4939	3	25.649
Marker162486	3	25.649
Marker80542	3	25.778
Marker38177	3	25.908
Marker2642	3	25.649
Marker104732	3	26.037
Marker123919	3	26.037
Marker124751	3	26.037
Marker43880	3	26.037
Marker198615	3	26.037
Marker211960	3	26.167
Marker208597	3	26.037
Marker86756	3	26.037
Marker143308	3	26.037
Marker35996	3	26.167
Marker7247	3	26.167
Marker138364	3	26.167
Marker157489	3	26.167
Marker82381	3	26.556
Marker93411	3	26.167
Marker86135	3	26.361
Marker71364	3	26.556
Marker203126	3	26.759
Marker26669	3	27.167
Marker143462	3	27.576
Marker62677	3	27.27
Marker115184	3	27.984
Marker22292	3	27.984
Marker205996	3	27.984
Marker112265	3	28.113
Marker38657	3	28.113
Marker89057	3	28.113
Marker133418	3	28.308
Marker168057	3	28.502
Marker225934	3	28.113
Marker224574	3	28.502
Marker161662	3	28.502
Marker23265	3	28.502
Marker11723	3	28.502
Marker168804	3	28.502
Marker132402	3	28.502
Marker20004	3	28.502
Marker83386	3	28.502
Marker123090	3	28.502
Marker219261	3	28.502
Marker70429	3	28.502
Marker22342	3	28.632
Marker175583	3	28.632
Marker176108	3	28.89
Marker117044	3	29.151
Marker179150	3	28.89
Marker24730	3	29.149
Marker147829	3	30.193
Marker71641	3	29.933
Marker84668	3	30.193
Marker185259	3	30.193
Marker63208	3	30.341
Marker219063	3	30.638
Marker62850	3	30.786
Marker222077	3	30.786
Marker62373	3	30.934
Marker149105	3	31.082
Marker133975	3	31.23
Marker206301	3	31.619
Marker159063	3	31.787
Marker160988	3	31.787
Marker121376	3	31.956
Marker207105	3	31.956
Marker146260	3	31.619
Marker93025	3	31.619
Marker46890	3	31.956
Marker12468	3	31.619
Marker167941	3	32.181
Marker190469	3	32.124
Marker56334	3	32.124
Marker130404	3	32.124
Marker217962	3	32.181
Marker218125	3	32.631
Marker91067	3	32.181
Marker38015	3	32.969
Marker56963	3	32.744
Marker63308	3	32.744
Marker81521	3	33.306
Marker39371	3	33.306
Marker96890	3	33.566
Marker27628	3	33.566
Marker67377	3	34.088
Marker16227	3	34.218
Marker192613	3	34.218
Marker19076	3	34.218
Marker120740	3	34.218
Marker86523	3	34.218
Marker135180	3	34.218
Marker172103	3	34.218
Marker189406	3	34.218
Marker39968	3	34.218
Marker164541	3	34.477
Marker14468	3	34.477
Marker122225	3	34.606
Marker197061	3	34.477
Marker8185	3	34.736
