Marker	Chr	cM				
S2_35280571	2	178.32				
S2_35280580	2	178.32				
S2_35287712	2	178.32				
S2_35289602	2	178.32				
S2_35307940	2	178.32				
S2_35339788	2	179.46				
S2_35340139	2	179.46				
S2_35390360	2	179.46				
S2_35423644	2	180.33				
S2_35432627	2	180.33				
S2_35477326	2	180.33				
S2_35508463	2	180.33				
S2_35589943	2	180.61				
S2_35597677	2	180.61				
S2_35609793	2	180.61				
S2_35642187	2	181.17				
S2_35663206	2	181.17				
S2_35677134	2	181.75				
S2_35679427	2	182.03				
S2_35681634	2	182.03				
S2_35692091	2	182.03				
S2_35707033	2	182.03				
S2_35753315	2	182.03				
S2_35767927	2	182.03				
S2_35770201	2	182.03				
S2_35772656	2	182.03				
S2_35772697	2	182.33				
S2_35790202	2	182.33				
S2_35797569	2	182.33				
S2_35825231	2	182.94				
S2_35854444	2	182.94				
S2_35875736	2	182.94				
S3_197654	3	0				
S3_263333	3	0				
S3_275531	3	0.29				
S3_369610	3	0.29				
S3_394447	3	0.29				
S3_426755	3	0.29				
S3_485325	3	2.18				
S3_525013	3	2.48				
S3_537524	3	2.48				
S3_550007	3	3.09				
S3_562450	3	3.09				
S3_566309	3	3.09				
S3_566377	3	3.09				
S3_566526	3	3.09				
S3_621020	3	3.09				
S3_645267	3	3.09				
S3_652638	3	3.09				
S3_656451	3	3.09				
S3_674912	3	3.09				
S3_674936	3	3.09				
S3_711957	3	3.09				
S3_723901	3	3.09				
S3_738151	3	3.09				
S3_755678	3	3.09				
S3_781143	3	3.37				
S3_781184	3	3.37				
S3_781355	3	3.37				
S3_791411	3	3.66				
S3_817872	3	4.23				
S3_855287	3	4.51				
S3_856612	3	4.51				
S3_861488	3	4.51				
S3_862840	3	4.51				
S3_862888	3	4.51				
S3_863545	3	4.51				
S3_927037	3	4.8				
S3_943116	3	5.09				
S3_961927	3	5.09				
S3_964935	3	5.39				
S3_985905	3	5.39				
S3_986001	3	5.39				
S3_996097	3	5.39				
S3_1001915	3	5.97				
S3_1002660	3	5.97				
S3_1008977	3	6.29				
S3_1026686	3	6.29				
S3_1095143	3	6.29				
S3_1126850	3	6.29				
S3_1166581	3	6.29				
S3_1204849	3	7.15				
S3_1218822	3	7.15				
S3_1222352	3	7.15				
S3_1226695	3	7.44				
S3_1307697	3	8.04				
S3_1336386	3	8.04				
S3_1353747	3	8.33				
S3_1355856	3	8.33				
S3_1356326	3	8.94				
S3_1399231	3	9.54				
S3_1403800	3	9.54				
S3_1403846	3	9.54				
S3_1416374	3	9.54				
S3_1419815	3	9.54				
S3_1419855	3	9.54				
S3_1438976	3	9.83				
S3_1440522	3	9.83				
S3_1440602	3	9.83				
S3_1551509	3	10.13				
S3_1555682	3	10.13				
S3_1577952	3	10.13				
S3_1699812	3	11.66				
S3_1705565	3	11.66				
S3_1711493	3	11.66				
S3_1712397	3	11.66				
S3_1712425	3	11.66				
S3_1726821	3	11.66				
S3_1739638	3	11.66				
S3_1747030	3	11.66				
S3_1752383	3	11.66				
S3_1796109	3	11.95				
S3_1796216	3	11.95				
S3_1797818	3	11.95				
S3_1797942	3	11.95				
S3_1798086	3	11.95				
S3_1804727	3	11.95				
S3_1832606	3	11.95				
S3_1842446	3	11.95				
S3_1867081	3	12.52				
S3_1883483	3	12.81				
S3_1938585	3	12.81				
S3_1985120	3	12.81				
S3_1990299	3	12.81				
S3_2048833	3	14.05				
S3_2052290	3	14.05				
S3_2078471	3	14.05				
S3_2089270	3	14.05				
S3_2112954	3	14.05				
S3_2171559	3	14.63				
S3_2250307	3	15.5				
S3_2263364	3	15.5				
S3_2263377	3	15.5				
S3_2264990	3	15.5				
S3_2274509	3	15.5				
S3_2295597	3	15.5				
S3_2299575	3	15.5				
S3_2314459	3	15.79				
S3_2342838	3	16.08				
S3_2362082	3	16.08				
S3_2375770	3	16.08				
S3_2379288	3	16.08				
S3_2396031	3	16.38				
S3_2396143	3	16.38				
S3_2409522	3	16.38				
S3_2466369	3	16.38				
S3_2467388	3	16.38				
S3_2467421	3	16.38				
S3_2492084	3	16.38				
S3_2496046	3	16.38				
S3_2508680	3	17.33				
S3_2529947	3	17.63				
S3_2567711	3	18.2				
S3_2625574	3	18.49				
S3_2625598	3	18.49				
S3_2685843	3	18.78				
S3_2715095	3	19.65				
S3_2715192	3	19.65				
S3_2718264	3	19.65				
S3_2771494	3	19.65				
S3_2771597	3	19.65				
S3_2773686	3	19.65				
S3_2776106	3	19.65				
S3_2780171	3	20.22				
S3_2846562	3	20.22				
S3_2868001	3	20.22				
S3_2961768	3	20.22				
S3_3066021	3	20.5				
S3_3069892	3	20.5				
S3_3075611	3	20.5				
S3_3170724	3	20.8				
S3_3177600	3	20.8				
S3_3272230	3	21.09				
S3_3279571	3	21.09				
S3_3337753	3	21.72				
S3_3362507	3	21.72				
S3_3408012	3	22.59				
S3_3444995	3	22.59				
S3_3461044	3	22.59				
S3_3534897	3	22.88				
S3_3555929	3	22.88				
S3_3677789	3	22.88				
S3_3726109	3	22.88				
S3_3728843	3	22.88				
S3_3729386	3	22.88				
S3_3740218	3	23.17				
S3_3750243	3	23.17				
S3_3750703	3	23.17				
S3_3881360	3	23.77				
S3_3881375	3	23.77				
S3_3966466	3	24.08				
S3_3978853	3	24.08				
S3_4016849	3	24.37				
S3_4042627	3	24.67				
S3_4050070	3	24.67				
S3_4116916	3	24.67				
S3_4311471	3	25.57				
S3_4320136	3	25.87				
S3_4397215	3	26.77				
S3_4458704	3	26.77				
S3_4471314	3	26.77				
S3_4495108	3	26.77				
S3_4514029	3	26.77				
S3_4543235	3	26.77				
S3_4591991	3	27.06				
S3_4600225	3	27.06				
S3_4607898	3	27.37				
S3_4632724	3	27.37				
S3_4666495	3	27.99				
S3_4772704	3	28.61				
S3_4772719	3	28.61				
S3_4775951	3	28.61				
S3_4791903	3	28.61				
S3_4796859	3	28.61				
S3_4807224	3	28.61				
S3_4844935	3	28.61				
S3_4847789	3	28.61				
S3_4858361	3	28.61				
S3_4865498	3	28.61				
S3_4913025	3	28.92				
S3_4913579	3	28.92				
S3_4924144	3	29.22				
S3_4924286	3	29.22				
S3_4924341	3	29.22				
S3_4924427	3	29.22				
S3_5002954	3	30.1				
S3_5002996	3	30.1				
S3_5052623	3	30.72				
S3_5100351	3	31.31				
S3_5198293	3	31.62				
S3_5214884	3	31.62				
S3_5215635	3	31.62				
S3_5231504	3	31.62				
S3_5263398	3	31.62				
S3_5301261	3	32.5				
S3_5311718	3	32.5				
S3_5316862	3	32.79				
S3_5335542	3	33.08				
S3_5351315	3	33.08				
S3_5458672	3	33.08				
S3_5497023	3	33.08				
S3_5528959	3	33.37				
S3_5529443	3	33.37				
S3_5530741	3	33.37				
S3_5533790	3	33.37				
S3_5533832	3	33.37				
S3_5539635	3	33.37				
S3_5540640	3	33.37				
S3_5545956	3	33.66				
S3_5546250	3	33.95				
S3_5591062	3	33.95				
S3_5608789	3	34.25				
S3_5609206	3	34.25				
S3_5609663	3	34.25				
S3_5610295	3	34.25				
S3_5615260	3	34.25				
S3_5698319	3	34.25				
S3_5729529	3	34.25				
S3_5824480	3	34.54				
S3_5829258	3	34.54				
S3_5849354	3	34.54				
S3_5849787	3	34.54				
S3_5859095	3	34.54				
S3_5904925	3	35.46				
S3_5997621	3	35.46				
S3_6011601	3	35.46				
S3_6027452	3	36.06				
S3_6027506	3	36.06				
S3_6079409	3	37.25				
S3_6085679	3	37.25				
S3_6109152	3	37.25				
S3_6156866	3	37.54				
S3_6168343	3	37.54				
S3_6217543	3	37.54				
S3_6251847	3	37.54				
S3_6252886	3	37.54				
S3_6279424	3	38.13				
S3_6282549	3	38.13				
S3_6301303	3	38.13				
S3_6301332	3	38.13				
S3_6323539	3	38.42				
S3_6323650	3	38.42				
S3_6332631	3	38.71				
S3_6432418	3	38.71				
S3_6470188	3	38.71				
S3_6512626	3	38.71				
S3_6534281	3	38.71				
S3_6561807	3	38.71				
S3_6567870	3	39				
S3_6580238	3	39				
S3_6592717	3	39				
S3_6592921	3	39				
S3_6625498	3	39				
S3_6625585	3	39.64				
S3_6645401	3	39.64				
S3_6708218	3	39.64				
S3_6763336	3	40.24				
S3_6934188	3	42.3				
S3_6962340	3	42.86				
S3_6997027	3	42.86				
S3_7002098	3	42.86				
S3_7011161	3	42.86				
S3_7027055	3	42.86				
S3_7030587	3	42.86				
S3_7030611	3	42.86				
S3_7066823	3	43.16				
S3_7130220	3	43.46				
S3_7209963	3	44.31				
S3_7227683	3	44.31				
S3_7240557	3	44.31				
S3_7305555	3	44.62				
S3_7339937	3	45.2				
S3_7342804	3	45.2				
S3_7353520	3	45.2				
S3_7381308	3	45.2				
S3_7431516	3	45.2				
S3_7483850	3	45.2				
S3_7554689	3	45.2				
S3_7587748	3	45.49				
S3_7656919	3	46.05				
S3_7676343	3	46.05				
S3_7677442	3	46.05				
S3_7708079	3	46.05				
S3_7766857	3	46.05				
S3_7789014	3	46.05				
S3_7816033	3	46.05				
S3_7832931	3	46.05				
S3_7872523	3	46.35				
S3_7884825	3	46.35				
S3_7906319	3	46.65				
S3_7999221	3	48.4				
S3_8018288	3	48.4				
S3_8043261	3	48.4				
S3_8069950	3	48.4				
S3_8074817	3	48.4				
S3_8079290	3	48.4				
S3_8090527	3	48.4				
S3_8094095	3	48.69				
S3_8135511	3	48.69				
S3_8151957	3	48.69				
S3_8154397	3	48.69				
S3_8163324	3	48.69				
S3_8201710	3	48.69				
S3_8236195	3	48.69				
S3_8327882	3	48.99				
S3_8353264	3	49.59				
S3_8354214	3	49.59				
S3_8357070	3	49.59				
S3_8372512	3	49.59				
S3_8374743	3	49.59				
S3_8418855	3	49.59				
S3_8434986	3	49.87				
S3_8443234	3	49.87				
S3_8531447	3	49.87				
S3_8532390	3	49.87				
S3_8546852	3	50.15				
S3_8558745	3	50.44				
S3_8579041	3	50.44				
S3_8659203	3	50.73				
S3_8673763	3	51.02				
S3_8703241	3	51.02				
S3_8893896	3	52.67				
S3_8917282	3	52.67				
S3_8917292	3	52.67				
S3_8966088	3	52.67				
S3_8993215	3	52.67				
S3_9015494	3	52.67				
S3_9039960	3	52.67				
S3_9040136	3	52.67				
S3_9096492	3	52.67				
S3_9188175	3	52.67				
S3_9199496	3	52.67				
S3_9213242	3	52.67				
S3_9387046	3	54.4				
S3_9480943	3	55.29				
S3_9490734	3	55.29				
S3_9492242	3	55.29				
S3_9509690	3	55.29				
S3_9564783	3	55.29				
S3_9576038	3	55.29				
S3_9576506	3	55.29				
S3_9654404	3	55.58				
S3_9699808	3	55.58				
S3_9756745	3	55.58				
S3_9768571	3	55.58				
S3_9794302	3	55.88				
S3_9843409	3	55.88				
S3_9853159	3	55.88				
S3_9891061	3	56.18				
S3_9903608	3	56.18				
S3_9946964	3	56.47				
S3_9947989	3	56.47				
S3_9992160	3	56.76				
S3_9995434	3	56.76				
S3_9995474	3	56.76				
S3_10028062	3	56.76				
S3_10028967	3	56.76				
S3_10086502	3	56.76				
S3_10107667	3	56.76				
S3_10116534	3	56.76				
S3_10116557	3	56.76				
S3_10116591	3	56.76				
S3_10132745	3	58.06				
S3_10213114	3	58.38				
S3_10245969	3	58.7				
S3_10258980	3	58.7				
S3_10274973	3	58.7				
S3_10325292	3	59.27				
S3_10486538	3	60.49				
S3_10507246	3	61.4				
S3_10508017	3	61.4				
S3_10512036	3	61.4				
S3_10520432	3	61.4				
S3_10527397	3	61.4				
S3_10549867	3	61.4				
S3_10593234	3	61.7				
S3_10656190	3	61.99				
S3_10823849	3	63.83				
S3_10831955	3	63.83				
S3_10906400	3	63.83				
S3_10960112	3	63.83				
S3_10987067	3	64.45				
S3_10992290	3	64.75				
S3_11053944	3	65.04				
S3_11053945	3	65.04				
S3_11061259	3	65.04				
S3_11114039	3	65.04				
S3_11133391	3	65.04				
S3_11168547	3	65.04				
S3_11218292	3	65.62				
S3_11250255	3	65.62				
S3_11268045	3	65.62				
S3_11339460	3	65.91				
S3_11360216	3	65.91				
S3_11429697	3	65.91				
S3_11512401	3	66.83				
S3_11513308	3	66.83				
S3_11713631	3	67.76				
S3_11725360	3	67.76				
S3_11753615	3	67.76				
S3_11795845	3	68.37				
S3_11805267	3	68.68				
S3_11808506	3	68.68				
S3_11818072	3	68.68				
S3_11848358	3	69.54				
S3_11865689	3	70.15				
S3_11876901	3	70.15				
S3_11887618	3	70.15				
S3_11896875	3	70.15				
S3_11957930	3	70.15				
S3_11990322	3	70.44				
S3_12019164	3	70.44				
S3_12049154	3	70.44				
S3_12068735	3	70.44				
S3_12069266	3	70.44				
S3_12070478	3	70.44				
S3_12111071	3	70.44				
S3_12120571	3	70.74				
S3_12120946	3	71.05				
S3_12220003	3	71.64				
S3_12262953	3	71.64				
S3_12263361	3	71.64				
S3_12281252	3	72.25				
S3_12288024	3	72.25				
S3_12297134	3	72.25				
S3_12306812	3	72.25				
S3_12336480	3	72.55				
S3_12353562	3	72.55				
S3_12357297	3	72.84				
S3_12357332	3	73.13				
S3_12357397	3	73.13				
S3_12489181	3	73.74				
S3_12528248	3	74.35				
S3_12528577	3	74.35				
S3_12529189	3	74.35				
S3_12558834	3	74.91				
S3_12588859	3	75.82				
S3_12588889	3	75.82				
S3_12619435	3	75.82				
S3_12647983	3	76.11				
S3_12695895	3	76.41				
S3_12695939	3	76.41				
S3_12705949	3	76.41				
S3_12733159	3	76.69				
S3_12741556	3	76.97				
S3_12754378	3	76.97				
S3_12764642	3	76.97				
S3_13174478	3	84.98				
S3_13189785	3	84.98				
S3_13250801	3	84.98				
S3_13603720	3	84.98				
S3_13604676	3	84.98				
S3_13605241	3	84.98				
S3_13681980	3	84.98				
S3_13738109	3	84.98				
S3_13769550	3	84.98				
S3_13777615	3	84.98				
S3_13800632	3	85.27				
S3_13800760	3	85.27				
S3_13860899	3	85.88				
S3_13906156	3	85.88				
S3_13934642	3	85.88				
S3_13948553	3	85.88				
S3_13996069	3	85.88				
S3_13996425	3	85.88				
S3_14006000	3	85.88				
S3_14015677	3	86.45				
S3_14017261	3	87.07				
S3_14022011	3	87.07				
S3_14087388	3	87.67				
S3_14095454	3	87.67				
S3_14095548	3	87.67				
S3_14095574	3	87.67				
S3_14095700	3	87.67				
S3_14095751	3	87.67				
S3_14095844	3	87.67				
S3_14095868	3	87.67				
S3_14096450	3	87.96				
S3_14096569	3	88.25				
S3_14096693	3	88.55				
S3_14096736	3	88.55				
S3_14096789	3	88.85				
S3_14097343	3	89.47				
S3_14097424	3	90.11				
S3_14141598	3	90.72				
S3_14144441	3	90.72				
S3_14144685	3	90.72				
S3_14145559	3	91.01				
S3_14145644	3	91.01				
S3_14145684	3	91.01				
S3_14145745	3	91.01				
S3_14145964	3	91.01				
S3_14146621	3	91.01				
S3_14147771	3	91.01				
S3_14147856	3	91.01				
S3_14148073	3	91.01				
S3_14148109	3	91.01				
S3_14148145	3	91.01				
S3_14183826	3	91.59				
S3_14191418	3	91.59				
S3_14231426	3	92.16				
S3_14264504	3	92.45				
S3_14264537	3	92.45				
S3_14276618	3	92.45				
S3_14359469	3	92.74				
S3_14381257	3	92.74				
S3_14415722	3	92.74				
S3_14416044	3	92.74				
S3_14427534	3	92.74				
S3_14427618	3	92.74				
S3_14611170	3	94.79				
S3_14738562	3	96.56				
S3_14933783	3	99.71				
S3_14933808	3	99.71				
S3_14937908	3	99.71				
S3_14937962	3	99.71				
S3_14938671	3	99.71				
S3_14991735	3	99.99				
S3_15003184	3	99.99				
S3_15011318	3	99.99				
S3_15039876	3	99.99				
S3_15076431	3	99.99				
S3_15094534	3	99.99				
S3_15100569	3	99.99				
S3_15126396	3	99.99				
S3_15150676	3	99.99				
S3_15151222	3	99.99				
S3_15311065	3	100.29				
S3_15389501	3	100.9				
S3_15404332	3	100.9				
S3_15486728	3	101.18				
S3_15503149	3	101.47				
S3_15513792	3	101.75				
S3_15513823	3	101.75				
S3_15568984	3	101.75				
S3_15667301	3	101.75				
S3_15668335	3	101.75				
S3_15668371	3	101.75				
S3_15668969	3	101.75				
S3_15668970	3	101.75				
S3_15729443	3	102.04				
S3_15766032	3	102.04				
S3_15767044	3	102.04				
S3_15768910	3	102.04				
S3_15864307	3	102.04				
S3_15924361	3	102.63				
S3_16071956	3	102.63				
S3_16120160	3	102.92				
S3_16136858	3	102.92				
S3_16174183	3	103.22				
S3_16174247	3	103.22				
S3_16260951	3	103.22				
S3_16358796	3	103.5				
S3_16359129	3	103.5				
S3_16383958	3	103.5				
S3_16450518	3	103.5				
S3_16458850	3	103.5				
S3_16458857	3	103.5				
S3_16529145	3	103.5				
S3_16590457	3	103.5				
S3_16599892	3	103.78				
S3_16736739	3	104.07				
S3_16804378	3	104.07				
S3_16941151	3	104.07				
S3_16954242	3	104.35				
S3_16975586	3	104.35				
S3_16975669	3	104.35				
S3_17022129	3	104.35				
S3_17044632	3	104.66				
S3_17044658	3	104.66				
S3_17083355	3	104.97				
S3_17143997	3	105.28				
S3_17269958	3	105.86				
S3_17285929	3	105.86				
S3_17334289	3	105.86				
S3_17391081	3	106.15				
S3_17441273	3	106.44				
S3_17456847	3	106.44				
S3_17461871	3	106.44				
S3_17461991	3	106.44				
S3_17472153	3	106.72				
S3_17474706	3	106.72				
S3_17486008	3	107.01				
S3_17487879	3	107.01				
S3_17571575	3	107.01				
S3_17576336	3	107.01				
S3_17709915	3	107.01				
S3_17738286	3	107.01				
S3_17780022	3	107.01				
S3_17788017	3	107.01				
S3_17818879	3	107.01				
S3_17826323	3	107.01				
S3_17932264	3	107.01				
S3_18054082	3	107.01				
S3_18106400	3	107.01				
S3_18106547	3	107.01				
S3_18131050	3	107.01				
S3_18131914	3	107.01				
S3_18280650	3	107.01				
S3_18372763	3	107.31				
S3_18441949	3	107.31				
S3_18483233	3	107.31				
S3_18488100	3	107.31				
S3_18496034	3	107.31				
S3_18506375	3	107.31				
S3_18530924	3	107.31				
S3_18530982	3	107.31				
S3_18543348	3	107.6				
S3_18569175	3	107.91				
S3_18649253	3	107.91				
S3_18935964	3	107.91				
S3_19123410	3	107.91				
S3_19144410	3	107.91				
S3_19193175	3	107.91				
S3_19195129	3	107.91				
S3_19243554	3	108.2				
S3_19244676	3	108.2				
S3_19604937	3	108.2				
S3_19865092	3	108.48				
S3_19865204	3	108.48				
S3_20244593	3	108.48				
S3_20266780	3	108.48				
S3_20391674	3	108.48				
S3_20480219	3	108.48				
S3_20518824	3	108.48				
S3_20575039	3	108.48				
S3_20579382	3	108.79				
S3_20728596	3	108.79				
S3_20743964	3	108.79				
S3_20747030	3	108.79				
S3_20869690	3	108.79				
S3_20871384	3	108.79				
S3_21007432	3	108.79				
S3_21055449	3	108.79				
S3_21127035	3	108.79				
S3_21212188	3	108.79				
S3_21275807	3	108.79				
S3_21285594	3	108.79				
S3_21310287	3	108.79				
S3_21364226	3	108.79				
S3_21374845	3	108.79				
S3_21439679	3	108.79				
S3_21445493	3	109.41				
S3_21628785	3	110.37				
S3_21670338	3	110.69				
S3_21701852	3	110.69				
S3_21708614	3	110.69				
S3_21731294	3	110.69				
S3_21731389	3	110.69				
S3_21737470	3	110.97				
S3_21944343	3	110.97				
S3_21958869	3	110.97				
S3_21958919	3	110.97				
S3_22014756	3	110.97				
S3_22048524	3	110.97				
S3_22087978	3	110.97				
S3_22107617	3	111.6				
S3_22120547	3	111.9				
S3_22151748	3	111.9				
S3_22171003	3	111.9				
S3_22180240	3	111.9				
S3_22180293	3	111.9				
S3_22203959	3	111.9				
S3_22227423	3	112.18				
S3_22262380	3	112.18				
S3_22272112	3	112.51				
S3_22373059	3	112.51				
S3_22480825	3	112.82				
S3_22511501	3	113.74				
S3_22533610	3	113.74				
S3_22657507	3	113.74				
S3_22668642	3	114.03				
S3_22718799	3	114.03				
S3_22737290	3	114.03				
S3_22783346	3	114.03				
S3_22793954	3	114.03				
S3_22817514	3	114.03				
S3_22817840	3	114.03				
S3_22823369	3	114.03				
S3_22971930	3	114.32				
S3_22976923	3	114.61				
S3_23020366	3	115.2				
S3_23096137	3	115.48				
S3_23128500	3	115.48				
S3_23128831	3	115.48				
S3_23153229	3	115.48				
S3_23185492	3	115.78				
S3_23221039	3	115.78				
S3_23221367	3	115.78				
S3_23351595	3	115.78				
S3_23424894	3	115.78				
S3_23424969	3	115.78				
S3_23445930	3	115.78				
S3_23466193	3	115.78				
S3_23475164	3	116.06				
S3_23477708	3	116.34				
S3_23590180	3	116.34				
S3_23615656	3	116.34				
S3_23621220	3	116.34				
S3_23621247	3	116.34				
S3_23636518	3	116.34				
S3_23644726	3	116.34				
S3_23715323	3	116.34				
S3_23727594	3	116.34				
S3_23816068	3	116.34				
S3_23829994	3	116.34				
S3_23838403	3	116.34				
S3_23902019	3	116.94				
S3_24202056	3	116.94				
S3_24222321	3	116.94				
S3_24246740	3	116.94				
S3_24251105	3	116.94				
S3_24273011	3	116.94				
S3_24341732	3	118.17				
S3_24365837	3	118.48				
S3_24393758	3	118.8				
S3_24393852	3	118.8				
S3_24405996	3	119.09				
S3_24419627	3	119.09				
S3_24443006	3	119.09				
S3_24443043	3	119.09				
S3_24443799	3	119.09				
S3_24476758	3	119.39				
S3_24481521	3	119.39				
S3_24514954	3	120				
S3_24535085	3	120				
S3_24546012	3	120.59				
S3_24632881	3	121.17				
S3_24801864	3	123.57				
S3_24801891	3	123.57				
S3_24802296	3	123.57				
S3_24835005	3	123.57				
S3_24845102	3	123.57				
S3_24845126	3	123.57				
S3_24951818	3	123.57				
S3_24992886	3	123.57				
S3_25096634	3	123.57				
S3_25288282	3	127.1				
S3_25288314	3	127.1				
S3_25288369	3	127.1				
S3_25288445	3	127.1				
S3_25377581	3	127.67				
S3_25378252	3	127.67				
S3_25388603	3	127.67				
S3_25388710	3	127.67				
S3_25404036	3	127.67				
S3_25404116	3	127.67				
S3_25405157	3	127.97				
S3_26119727	3	131.85				
S3_26433824	3	133.3				
S3_26466205	3	133.86				
S3_26508429	3	134.15				
S3_26536286	3	134.73				
S3_26542118	3	135.01				
S3_26576745	3	135.01				
S3_26584670	3	135.01				
S3_26584753	3	135.01				
S3_26613516	3	135.01				
S3_26690711	3	135.64				
S3_26705619	3	135.94				
S3_26709038	3	136.55				
S3_26716511	3	136.55				
S3_26737277	3	136.55				
S3_26757732	3	136.55				
S3_26775600	3	136.55				
S3_26845909	3	137.43				
S3_26859648	3	137.72				
S3_26873248	3	137.72				
S3_26978072	3	137.72				
S3_26978180	3	137.72				
S3_26994756	3	137.72				
S3_27013197	3	137.72				
S3_27013254	3	137.72				
S3_27028157	3	137.72				
S3_27053246	3	137.72				
S3_27053334	3	137.72				
S3_27063165	3	138.03				
S3_27082292	3	138.03				
S3_27088625	3	138.03				
S3_27178118	3	138.31				
S3_27178142	3	138.31				
S3_27273897	3	139.22				
S3_27315848	3	139.22				
S3_27344123	3	139.22				
S3_27359319	3	139.22				
S3_27364861	3	139.22				
S3_27416050	3	139.5				
S3_27436049	3	139.5				
S3_27449060	3	139.5				
S3_27659103	3	141.85				
S3_27703670	3	142.42				
S3_27703692	3	142.42				
S3_27791229	3	142.42				
S3_27837125	3	142.42				
S3_27843566	3	142.42				
S3_27844001	3	142.71				
S3_27884206	3	142.71				
S3_27891416	3	142.71				
S3_27918748	3	142.71				
S3_27918770	3	142.71				
S3_27943506	3	143				
S3_27988222	3	143.29				
S3_28005528	3	143.29				
S3_28111909	3	143.59				
S3_28113683	3	143.59				
S3_28113705	3	143.59				
S3_28113766	3	143.59				
S3_28113794	3	143.59				
S3_28113833	3	143.59				
S3_28141092	3	143.59				
S3_28162991	3	143.89				
S3_28192022	3	144.18				
S3_28253885	3	144.18				
S3_28253966	3	144.18				
S3_28260539	3	144.18				
S3_28311856	3	144.18				
S3_28314461	3	144.18				
S3_28315185	3	144.18				
S3_28329842	3	144.18				
S3_28342430	3	144.18				
S3_28353173	3	144.18				
S3_28362337	3	144.18				
S3_28367406	3	144.18				
S3_28373340	3	144.18				
S3_28377701	3	144.18				
S3_28386700	3	144.18				
S3_28391410	3	144.18				
S3_28441338	3	144.18				
S3_28513305	3	144.73				
S3_28513488	3	144.73				
S3_29240341	3	151.14				
S3_29280980	3	151.14				
S3_29301447	3	151.14				
S3_29301529	3	151.14				
S3_29308203	3	151.14				
S3_29324466	3	151.14				
S3_29366543	3	151.14				
S3_29366636	3	151.14				
S3_29366675	3	151.14				
S3_29439367	3	151.14				
S3_29440628	3	151.14				
S3_29510973	3	151.14				
S3_29517160	3	151.45				
S3_29559030	3	151.45				
S3_29591210	3	151.45				
S3_29596443	3	151.45				
S3_29605649	3	151.74				
S3_29637495	3	151.74				
S3_29641245	3	151.74				
S3_29679387	3	152.05				
S3_29742007	3	152.05				
S3_29855008	3	152.66				
S3_30045852	3	154.83				
S3_30046015	3	154.83				
S3_30065910	3	154.83				
S3_30071858	3	154.83				
S3_30074856	3	154.83				
S3_30076736	3	154.83				
S3_30076856	3	154.83				
S3_30078726	3	154.83				
S3_30193609	3	154.83				
S3_30193618	3	154.83				
S3_30226650	3	154.83				
S3_30267577	3	154.83				
S3_30317411	3	155.44				
S3_30318720	3	155.74				
S3_30351264	3	155.74				
S3_30361166	3	155.74				
S3_30367717	3	156.34				
S3_30407838	3	156.92				
S3_30430766	3	157.21				
S3_30431043	3	157.21				
S3_30499443	3	157.51				
S3_30523409	3	157.51				
S3_30531013	3	157.51				
S3_30545228	3	157.51				
S3_30743487	3	158.38				
S3_30744036	3	158.38				
S3_30744037	3	158.38				
S3_30763069	3	158.38				
S3_30831512	3	158.38				
S3_30831775	3	158.38				
S3_30978061	3	158.38				
S3_31055792	3	158.38				
S3_31118360	3	158.38				
S3_31121075	3	158.38				
S3_31121120	3	158.38				
S3_31121734	3	158.38				
S3_31203735	3	158.38				
S3_31219877	3	158.38				
S3_31281932	3	158.38				
S3_31282030	3	158.38				
S3_31305761	3	158.38				
S3_31311496	3	158.67				
S3_31345248	3	158.97				
S3_31345371	3	158.97				
S3_31350228	3	158.97				
S3_31360291	3	158.97				
S3_31364649	3	159.25				
S3_31380528	3	159.25				
S3_31422502	3	159.25				
S3_31436671	3	160.2				
S3_31459433	3	160.2				
S3_31489476	3	160.49				
S3_31490302	3	160.49				
S3_31490364	3	160.49				
S3_31558705	3	161.36				
S3_31580379	3	161.36				
S3_31606134	3	161.65				
S3_31637104	3	162.22				
S3_31644816	3	162.22				
S3_31698933	3	163.12				
S3_31722296	3	163.12				
S3_31744273	3	163.4				
S3_31759503	3	163.4				
S3_31788519	3	163.4				
S3_31824449	3	163.68				
S3_31828055	3	163.68				
S3_31857209	3	164.26				
S3_31905726	3	164.56				
S3_31924131	3	164.86				
S3_31943938	3	165.16				
S3_31944839	3	165.16				
S3_32013555	3	165.45				
S3_32013647	3	165.45				
S3_32028657	3	165.73				
S3_32058772	3	165.73				
S3_32078967	3	165.73				
S3_32081109	3	165.73				
S3_32107707	3	165.73				
S3_32161221	3	166.03				
S3_32170005	3	166.03				
S3_32170049	3	166.03				
S3_32170485	3	166.03				
S3_32170554	3	166.03				
S3_32170567	3	166.03				
S3_32171162	3	166.03				
S3_32188338	3	166.03				
S3_32188358	3	166.03				
S3_32291011	3	168.73				
S3_32507536	3	172.17				
S3_32584312	3	172.17				
S3_32615363	3	172.17				
S3_32645224	3	172.17				
S3_32660290	3	172.17				
S3_32670583	3	172.17				
S3_32696984	3	172.17				
S3_32708298	3	172.17				
S3_32710680	3	172.17				
S3_32760828	3	172.17				
S3_32777685	3	172.17				
S3_32777772	3	172.17				
S3_32808995	3	172.17				
S3_32847633	3	172.17				
S3_32853781	3	172.17				
S3_32886090	3	172.47				
S3_32919982	3	172.47				
S3_32948859	3	172.47				
S3_33000563	3	172.76				
S3_33007183	3	172.76				
S3_33010586	3	172.76				
S3_33022515	3	173.05				
S3_33074353	3	173.35				
